commit_object_id,event_id,message_text,cm_type,cm_scope,cm_breaking,category
34774,34772,test(changelog): code cleanup and better type,test,changelog,False,tech_debt
35276,35274,refactor(EOLType): add eol enum back and reorganize methods,refactor,EOLType,False,tech_debt
35284,35282,refactor(git): refactor get_tag_names,refactor,git,False,tech_debt
35484,35482,"feat(cli): add --tag-format argument to changelog command

Changelog command already checks ""tag_format"" argument but cli support was missing.",feat,cli,False,feature_work
36378,36376,docs(README): update documentation site link text,docs,README,False,docs
37940,37938,"fix: print which tag is invalid

and the regex used for validation",fix,,False,bug_fixes
38731,38729,ci(github-actions): add check-commit task,ci,github-actions,False,tech_debt
40027,40025,"build(deps-dev): bump ruff from 0.8.5 to 0.9.2

Bumps [ruff](https://github.com/astral-sh/ruff) from 0.8.5 to 0.9.2.
- [Release notes](https://github.com/astral-sh/ruff/releases)
- [Changelog](https://github.com/astral-sh/ruff/blob/main/CHANGELOG.md)
- [Commits](https://github.com/astral-sh/ruff/compare/0.8.5...0.9.2)

---
updated-dependencies:
- dependency-name: ruff
  dependency-type: direct:development
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",build,deps-dev,False,tech_debt
40159,40157,"build(deps-dev): bump ruff from 0.8.5 to 0.9.0

Bumps [ruff](https://github.com/astral-sh/ruff) from 0.8.5 to 0.9.0.
- [Release notes](https://github.com/astral-sh/ruff/releases)
- [Changelog](https://github.com/astral-sh/ruff/blob/main/CHANGELOG.md)
- [Commits](https://github.com/astral-sh/ruff/compare/0.8.5...0.9.0)

---
updated-dependencies:
- dependency-name: ruff
  dependency-type: direct:development
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",build,deps-dev,False,tech_debt
40258,40256,"build(deps-dev): bump ruff from 0.8.4 to 0.8.5

Bumps [ruff](https://github.com/astral-sh/ruff) from 0.8.4 to 0.8.5.
- [Release notes](https://github.com/astral-sh/ruff/releases)
- [Changelog](https://github.com/astral-sh/ruff/blob/main/CHANGELOG.md)
- [Commits](https://github.com/astral-sh/ruff/compare/0.8.4...0.8.5)

---
updated-dependencies:
- dependency-name: ruff
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",build,deps-dev,False,tech_debt
40355,40353,fix: correciton de la lecture de la ligne d argument,fix,,False,bug_fixes
40652,40650,"feat(file): adding tests for the multilanguage version

test to be sure that all the case are looked. The language option give the oppotunity to choose on wich language you want to display infomation during the commit",feat,file,False,feature_work
40833,40831,"build(deps-dev): bump mypy from 1.14.0 to 1.14.1

Bumps [mypy](https://github.com/python/mypy) from 1.14.0 to 1.14.1.
- [Changelog](https://github.com/python/mypy/blob/master/CHANGELOG.md)
- [Commits](https://github.com/python/mypy/compare/v1.14.0...v1.14.1)

---
updated-dependencies:
- dependency-name: mypy
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",build,deps-dev,False,tech_debt
41037,41035,"build(deps-dev): bump mypy from 1.13.0 to 1.14.0

Bumps [mypy](https://github.com/python/mypy) from 1.13.0 to 1.14.0.
- [Changelog](https://github.com/python/mypy/blob/master/CHANGELOG.md)
- [Commits](https://github.com/python/mypy/compare/v1.13.0...v1.14.0)

---
updated-dependencies:
- dependency-name: mypy
  dependency-type: direct:development
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",build,deps-dev,False,tech_debt
41241,41239,"build(deps-dev): bump mkdocs-material from 9.5.48 to 9.5.49

Bumps [mkdocs-material](https://github.com/squidfunk/mkdocs-material) from 9.5.48 to 9.5.49.
- [Release notes](https://github.com/squidfunk/mkdocs-material/releases)
- [Changelog](https://github.com/squidfunk/mkdocs-material/blob/master/CHANGELOG)
- [Commits](https://github.com/squidfunk/mkdocs-material/compare/9.5.48...9.5.49)

---
updated-dependencies:
- dependency-name: mkdocs-material
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",build,deps-dev,False,tech_debt
41649,41647,"build(deps-dev): bump pytest from 8.3.3 to 8.3.4

Bumps [pytest](https://github.com/pytest-dev/pytest) from 8.3.3 to 8.3.4.
- [Release notes](https://github.com/pytest-dev/pytest/releases)
- [Changelog](https://github.com/pytest-dev/pytest/blob/main/CHANGELOG.rst)
- [Commits](https://github.com/pytest-dev/pytest/compare/8.3.3...8.3.4)

---
updated-dependencies:
- dependency-name: pytest
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",build,deps-dev,False,tech_debt
42365,42363,style: fix ruff warned style,style,,False,tech_debt
42696,42694,"ci(deps): bump codecov/codecov-action from 4 to 5

Bumps [codecov/codecov-action](https://github.com/codecov/codecov-action) from 4 to 5.
- [Release notes](https://github.com/codecov/codecov-action/releases)
- [Changelog](https://github.com/codecov/codecov-action/blob/main/CHANGELOG.md)
- [Commits](https://github.com/codecov/codecov-action/compare/v4...v5)

---
updated-dependencies:
- dependency-name: codecov/codecov-action
  dependency-type: direct:production
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>",ci,deps,False,tech_debt
43349,43347,"build(deps-dev): bump pytest from 8.3.2 to 8.3.3

Bumps [pytest](https://github.com/pytest-dev/pytest) from 8.3.2 to 8.3.3.
- [Release notes](https://github.com/pytest-dev/pytest/releases)
- [Changelog](https://github.com/pytest-dev/pytest/blob/main/CHANGELOG.rst)
- [Commits](https://github.com/pytest-dev/pytest/compare/8.3.2...8.3.3)

---
updated-dependencies:
- dependency-name: pytest
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",build,deps-dev,False,tech_debt
43357,43355,"build(deps-dev): bump rich from 13.8.0 to 13.8.1

Bumps [rich](https://github.com/Textualize/rich) from 13.8.0 to 13.8.1.
- [Release notes](https://github.com/Textualize/rich/releases)
- [Changelog](https://github.com/Textualize/rich/blob/master/CHANGELOG.md)
- [Commits](https://github.com/Textualize/rich/compare/v13.8.0...v13.8.1)

---
updated-dependencies:
- dependency-name: rich
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",build,deps-dev,False,tech_debt
44115,44113,"build(deps-dev): bump mkdocs-material from 9.5.41 to 9.5.42

Bumps [mkdocs-material](https://github.com/squidfunk/mkdocs-material) from 9.5.41 to 9.5.42.
- [Release notes](https://github.com/squidfunk/mkdocs-material/releases)
- [Changelog](https://github.com/squidfunk/mkdocs-material/blob/master/CHANGELOG)
- [Commits](https://github.com/squidfunk/mkdocs-material/compare/9.5.41...9.5.42)

---
updated-dependencies:
- dependency-name: mkdocs-material
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",build,deps-dev,False,tech_debt
44786,44784,"build(deps-dev): bump mkdocs-material from 9.5.39 to 9.5.40

Bumps [mkdocs-material](https://github.com/squidfunk/mkdocs-material) from 9.5.39 to 9.5.40.
- [Release notes](https://github.com/squidfunk/mkdocs-material/releases)
- [Changelog](https://github.com/squidfunk/mkdocs-material/blob/master/CHANGELOG)
- [Commits](https://github.com/squidfunk/mkdocs-material/compare/9.5.39...9.5.40)

---
updated-dependencies:
- dependency-name: mkdocs-material
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",build,deps-dev,False,tech_debt
45194,45192,docs: improve monorepo docs,docs,,False,docs
46055,46053,"build(deps-dev): bump pytest from 8.3.2 to 8.3.3

Bumps [pytest](https://github.com/pytest-dev/pytest) from 8.3.2 to 8.3.3.
- [Release notes](https://github.com/pytest-dev/pytest/releases)
- [Changelog](https://github.com/pytest-dev/pytest/blob/main/CHANGELOG.rst)
- [Commits](https://github.com/pytest-dev/pytest/compare/8.3.2...8.3.3)

---
updated-dependencies:
- dependency-name: pytest
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",build,deps-dev,False,tech_debt
48075,48073,"build(deps-dev): bump mypy from 1.11.0 to 1.11.1

Bumps [mypy](https://github.com/python/mypy) from 1.11.0 to 1.11.1.
- [Changelog](https://github.com/python/mypy/blob/master/CHANGELOG.md)
- [Commits](https://github.com/python/mypy/compare/v1.11...v1.11.1)

---
updated-dependencies:
- dependency-name: mypy
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",build,deps-dev,False,tech_debt
49809,49807,"build(deps): bump importlib-metadata from 7.1.0 to 7.2.0

Bumps [importlib-metadata](https://github.com/python/importlib_metadata) from 7.1.0 to 7.2.0.
- [Release notes](https://github.com/python/importlib_metadata/releases)
- [Changelog](https://github.com/python/importlib_metadata/blob/main/NEWS.rst)
- [Commits](https://github.com/python/importlib_metadata/compare/v7.1.0...v7.2.0)

---
updated-dependencies:
- dependency-name: importlib-metadata
  dependency-type: direct:production
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",build,deps,False,tech_debt
55728,55726,"ci(github-actions): replace env with ""with"" for docpublish aciton

this has been changed since 3.0 as well
https://github.com/peaceiris/actions-gh-pages/issues/123",ci,github-actions,False,tech_debt
57075,57073,"fix(command-init): ""cz init"" should list exisitng tag in reverse order",fix,command-init,False,bug_fixes
57640,57638,"build(deps-dev): bump black from 24.2.0 to 24.3.0

Bumps [black](https://github.com/psf/black) from 24.2.0 to 24.3.0.
- [Release notes](https://github.com/psf/black/releases)
- [Changelog](https://github.com/psf/black/blob/main/CHANGES.md)
- [Commits](https://github.com/psf/black/compare/24.2.0...24.3.0)

---
updated-dependencies:
- dependency-name: black
  dependency-type: direct:development
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",build,deps-dev,False,tech_debt
57695,57693,"build(deps-dev): bump types-python-dateutil

Bumps [types-python-dateutil](https://github.com/python/typeshed) from 2.8.19.20240311 to 2.9.0.20240316.
- [Commits](https://github.com/python/typeshed/commits)

---
updated-dependencies:
- dependency-name: types-python-dateutil
  dependency-type: direct:development
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",build,deps-dev,False,tech_debt
57816,57814,test(commit): add tests for retry_after_failure config option and --no-retry flag,test,commit,False,tech_debt
58013,58011,"fix(changelog): include latest change when dry run and incremental

Closes #1024",fix,changelog,False,bug_fixes
58301,58299,"build(deps-dev): bump types-deprecated

Bumps [types-deprecated](https://github.com/python/typeshed) from 1.2.9.20240106 to 1.2.9.20240311.
- [Commits](https://github.com/python/typeshed/commits)

---
updated-dependencies:
- dependency-name: types-deprecated
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",build,deps-dev,False,tech_debt
59281,59279,"build(deps-dev): bump ruff from 0.2.2 to 0.3.1

Bumps [ruff](https://github.com/astral-sh/ruff) from 0.2.2 to 0.3.1.
- [Release notes](https://github.com/astral-sh/ruff/releases)
- [Changelog](https://github.com/astral-sh/ruff/blob/main/CHANGELOG.md)
- [Commits](https://github.com/astral-sh/ruff/compare/v0.2.2...v0.3.1)

---
updated-dependencies:
- dependency-name: ruff
  dependency-type: direct:development
  update-type: version-update:semver-minor
...

Signed-off-by: dependabot[bot] <support@github.com>",build,deps-dev,False,tech_debt
61241,61239,fix(bump): remove unused method,fix,bump,False,bug_fixes
61355,61353,"build(deps-dev): bump black from 23.12.1 to 24.1.1

Bumps [black](https://github.com/psf/black) from 23.12.1 to 24.1.1.
- [Release notes](https://github.com/psf/black/releases)
- [Changelog](https://github.com/psf/black/blob/main/CHANGES.md)
- [Commits](https://github.com/psf/black/compare/23.12.1...24.1.1)

---
updated-dependencies:
- dependency-name: black
  dependency-type: direct:development
  update-type: version-update:semver-major
...

Signed-off-by: dependabot[bot] <support@github.com>",build,deps-dev,False,tech_debt
61710,61708,"build(deps-dev): bump ruff from 0.1.13 to 0.1.14

Bumps [ruff](https://github.com/astral-sh/ruff) from 0.1.13 to 0.1.14.
- [Release notes](https://github.com/astral-sh/ruff/releases)
- [Changelog](https://github.com/astral-sh/ruff/blob/main/CHANGELOG.md)
- [Commits](https://github.com/astral-sh/ruff/compare/v0.1.13...v0.1.14)

---
updated-dependencies:
- dependency-name: ruff
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",build,deps-dev,False,tech_debt
61986,61984,"build(deps-dev): bump mkdocs-material from 9.5.3 to 9.5.4

Bumps [mkdocs-material](https://github.com/squidfunk/mkdocs-material) from 9.5.3 to 9.5.4.
- [Release notes](https://github.com/squidfunk/mkdocs-material/releases)
- [Changelog](https://github.com/squidfunk/mkdocs-material/blob/master/CHANGELOG)
- [Commits](https://github.com/squidfunk/mkdocs-material/compare/9.5.3...9.5.4)

---
updated-dependencies:
- dependency-name: mkdocs-material
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",build,deps-dev,False,tech_debt
62148,62146,docs(version_scheme): fixed typo sever -> semver,docs,version_scheme,False,docs
62372,62370,"build(deps-dev): bump types-python-dateutil

Bumps [types-python-dateutil](https://github.com/python/typeshed) from 2.8.19.14 to 2.8.19.20240106.
- [Commits](https://github.com/python/typeshed/commits)

---
updated-dependencies:
- dependency-name: types-python-dateutil
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",build,deps-dev,False,tech_debt
62756,62754,"build(deps): bump importlib-metadata from 7.0.0 to 7.0.1

Bumps [importlib-metadata](https://github.com/python/importlib_metadata) from 7.0.0 to 7.0.1.
- [Release notes](https://github.com/python/importlib_metadata/releases)
- [Changelog](https://github.com/python/importlib_metadata/blob/main/NEWS.rst)
- [Commits](https://github.com/python/importlib_metadata/compare/v7.0.0...v7.0.1)

---
updated-dependencies:
- dependency-name: importlib-metadata
  dependency-type: direct:production
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",build,deps,False,tech_debt
63138,63136,ci(github): fix codeowners format,ci,github,False,tech_debt
63751,63749,docs(changelog): remove duplicate versions,docs,changelog,False,docs
63927,63925,docs(github): add maintainers as codeowners,docs,github,False,docs
64254,64252,"build(deps-dev): bump mkdocs-material from 9.4.6 to 9.4.10

Bumps [mkdocs-material](https://github.com/squidfunk/mkdocs-material) from 9.4.6 to 9.4.10.
- [Release notes](https://github.com/squidfunk/mkdocs-material/releases)
- [Changelog](https://github.com/squidfunk/mkdocs-material/blob/master/CHANGELOG)
- [Commits](https://github.com/squidfunk/mkdocs-material/compare/9.4.6...9.4.10)

---
updated-dependencies:
- dependency-name: mkdocs-material
  dependency-type: direct:development
  update-type: version-update:semver-patch
...

Signed-off-by: dependabot[bot] <support@github.com>",build,deps-dev,False,tech_debt
66835,66833,"Revert ""ci(deps): bump codecov/codecov-action from 3 to 4""

This reverts commit b8c0c7c780652d68a2b60bad8379f22418110e5f.",other,,False,other
67691,67689,refactor(provider): move chdir to providers/conftest.py,refactor,provider,False,tech_debt
67707,67705,refactor(provider): import all providers to providers/__init__.py to preserve plugin config,refactor,provider,False,tech_debt
68492,68490,docs(docs): modify the wrong content in contributing md,docs,docs,False,docs
71568,71566,ci(github-actions): add workflow to label issues,ci,github-actions,False,tech_debt
72055,72053,"style: import anntations __future__ and replace Optional, List, Unino to their new counterpart",style,,False,tech_debt
74244,74242,"build(python): Sunset Python 3.6 and support Python 3.11

Fixes #607

BREAKING CHANGE: Python 3.6 is not officially supported anymore. Please migrate from 3.6 to 3.7 or greater.",build,python,False,tech_debt
74412,74410,"feat: add semver support through version provider new api (#686)

* feat(bump): version_provider=semver optional option to make version compatible with semver

Signed-off-by: apkawa <apkawa@gmail.com>

* refactor(bump): version_provider rename to version_type; `pep` option rename to `pep440`

Signed-off-by: apkawa <apkawa@gmail.com>

* docs(bump): add `version_type` info to config.md

Signed-off-by: apkawa <apkawa@gmail.com>

* refactor(bump): to use VersionProtocol interface instead packaging.Version subclass

Signed-off-by: apkawa <apkawa@gmail.com>

* test(bump): `VersionProtocol` workaround mypy for py==3.7

Signed-off-by: apkawa <apkawa@gmail.com>

* fix(changelog): `changelog` command does not find version tag with `version_type=semver` option

Signed-off-by: apkawa <apkawa@gmail.com>

* refactor: minor review fixes

* test(changelog): fix test_changelog_incremental_with_merge_prerelease issue with freeze_time

Signed-off-by: apkawa <apkawa@gmail.com>

---------

Signed-off-by: apkawa <apkawa@gmail.com>",feat,,False,feature_work
74612,74610,build: update lock,build,,False,tech_debt
74903,74901,docs: update mkdocs conf,docs,,False,docs
75698,75696,style: format code through black,style,,False,tech_debt
75778,75776,docs(deps): upgrade mkdocs-material and tidy some snippets,docs,deps,False,docs
76340,76338,build(poetry): bump `pytest-mock` dev dependency,build,poetry,False,tech_debt
79735,79733,"feat(bump): added support for running arbitrary hooks during bump

To make commitizen integrate even better, new configuration keys pre_bump_hooks and post_bump_hooks were added to allow to run arbitrary commands prior to and right after running bump

Closes: #292",feat,bump,False,feature_work
79762,79760,test(commands/bump): add test case from bump hooks,test,commands/bump,False,tech_debt
81197,81195,ci(pre-commit): set linter and test stage to push stage,ci,pre-commit,False,tech_debt
82164,82162,"docs(README.md): update poetry dev dependency usage

Since Poetry 1.2.0 dependency groups are introduced, and `--dev` becomes deprecated, and instead `--with dev` has to be provided.",docs,README.md,False,docs
82386,82384,fix(pythonpackage.yml): undo indent reformatting,fix,pythonpackage.yml,False,bug_fixes
82418,82416,feat: add major-version-zero option to support initial package development,feat,,False,feature_work
82530,82528,feat: add major-version-zero option to support initial package development,feat,,False,feature_work
82618,82616,"feat(unicode): add unicode support

This will allow commiting, e.g., emoji's and parsing commit messages for
unicode characters when creating change logs.",feat,unicode,False,feature_work
